,min_char,max_char,letter,password,count,correct
590,5,10,s,sssggssssjsssmsss,13,False
591,9,14,p,ppfppzppnvmpqdvpp,9,False
592,2,4,l,wclwrlrdvh,2,False
593,6,17,g,gggmkglggwgpgkmglt,9,True
594,5,7,z,zzzbzpz,5,False
595,4,5,q,qbqqlzpqg,4,False
596,10,19,h,hhhhhhhhhrhhqhhhhhhh,18,True
597,6,7,m,nfnxmsmhtmhsmmmmgmsl,8,False
598,2,3,m,mkfmmm,4,False
599,8,10,j,xrjdnjjjnjjcjjjjjj,12,False
600,3,6,x,xwrjxhjxx,4,True
601,6,7,z,zzzzzzzg,7,False
602,8,17,k,kkkkkkkkkkkkkkkkk,17,False
603,6,9,n,rnnxnnbwnsnnwn,8,True
604,6,8,m,mkmmmsmm,6,False
605,4,6,q,qqfxqqq,5,True
606,2,8,s,hxmfbkszk,1,False
607,6,7,r,rrrrrrr,7,False
608,2,5,h,hhqzhhhh,6,False
609,5,15,b,bhbvnrbrbblbbhh,7,True
610,12,13,d,ddddddtdddvhddd,12,False
611,5,6,f,fmfcfwf,4,False
612,4,7,j,njqfxjjjqjjvdj,7,False
613,6,9,g,fggkggzgghrv,6,False
614,9,12,b,vbblbxpfrbjbgpwxb,6,False
615,1,8,s,tzcdrktsqjsxssfsssh,7,True
616,10,14,f,fffffffffcffffffffff,19,False
617,13,17,p,pqpppppcpbwpppnprppk,13,False
618,16,17,n,nnnmnnnnnnnnnnnsj,14,False
619,10,16,k,kkkkkkkkkkkkkkktk,16,False
620,8,11,w,wwwwwwwwwwm,10,True
621,2,5,q,qqqqqq,6,False
622,2,7,m,mmmmmxg,5,True
623,2,9,m,mmvlggdmr,3,True
624,3,9,s,wxdbmlcrlpnzmkfdfs,1,False
625,12,16,z,zlxzgznqqfzsqtwc,4,False
626,6,7,f,flvmfffjffbmgfzfgfp,9,False
627,2,3,g,cgggqgxqgv,5,False
628,2,3,f,rffvf,3,False
629,1,8,h,vhhhhhhvhhvhhhhf,12,False
630,6,12,x,vzdxxxgxtxzxxxqc,8,True
631,4,5,w,rwwwwww,6,False
632,7,10,r,brwrcrrkcsj,4,False
633,6,10,q,jvqqqqqqqmq,8,True
634,5,18,v,lvhvvwvvvvvlvlvvmv,12,True
635,6,9,z,zzvzcwlzslhlzqsf,5,False
636,3,6,x,sdknfxvwtcfcjgmv,1,False
637,8,9,l,lqcwlllsllll,8,False
638,1,4,k,dgklv,1,False
639,2,6,q,qqqptfqqqqq,8,False
640,4,7,m,mrmcmmmm,6,True
641,4,5,r,rrrblg,3,False
642,1,8,c,qcccccvntc,6,True
643,6,7,m,mzbxmmmnhmqcmmqvbmcp,8,False
644,2,4,t,ptvqx,1,False
645,9,10,s,gpssssssgss,8,False
646,4,18,b,bbbbbbbbbbbbbbbbbfb,18,False
647,4,5,f,ffffgf,5,False
648,3,6,l,lslglw,3,False
649,1,5,l,ltzlllsdlmrllkvbztvr,7,False
650,15,19,l,llllllllllllllnllll,18,True
651,10,11,j,jjjjpjjjjjncj,10,False
652,2,3,w,wfwgd,2,False
653,1,7,r,vrrrzrr,5,True
654,3,7,k,kkkjckkkgkbtvm,7,False
655,9,12,k,kkkkkrckcrkk,8,False
656,1,6,b,hpbjbvb,3,True
657,6,8,s,ssssssvss,8,False
658,2,4,x,mpxk,1,False
659,6,10,x,xxxmrwhgxxxjx,7,True
660,7,8,x,xxphxxxxx,7,False
661,6,19,n,mdrlnnpnjndqgnkfwnnn,8,True
662,2,5,q,qjwtbmkhtnxm,1,False
663,15,17,j,xjjjjjbjqjjjjjjqjjjw,15,False
664,5,7,x,pxxxxsxxsxx,8,False
665,3,6,t,ttttrp,4,True
666,8,11,f,fffffffffrkzf,10,True
667,6,8,r,glsprkbp,1,False
668,10,12,m,mmmmmmmmmmmsm,12,False
669,13,14,z,zzszzzszzbzzzplzzz,13,False
670,19,20,c,ccccchwccccccccccncb,16,False
671,7,12,z,qzggglzlhshnrwt,2,False
672,12,14,z,zzzzzzzzhzzwzc,11,False
673,1,2,s,sssl,3,False
674,1,3,q,fsqmwq,2,True
675,1,6,z,zmzztzkzznmflqffz,7,False
676,9,11,b,bwbbjbbbtlbbn,8,False
677,4,6,s,nktszz,1,False
678,2,5,j,nqjhjkb,2,False
679,7,16,l,lrlllllllmllswlsl,12,True
680,2,3,f,fjqvfff,4,False
681,7,15,w,hwxghddqwwwwwww,8,True
682,2,4,z,zgzfx,2,False
683,5,6,h,vhhjhthh,5,False
684,13,14,h,hhhhhhfhhhhhhhphhhh,17,False
685,16,17,k,kkkkkkkkkkkkkkknx,15,False
686,7,15,l,dllllllmlllfllf,11,True
687,2,6,w,mtkwwwww,5,True
688,2,7,k,zpkkgldk,3,True
689,7,9,d,htmtjddddddqvddcd,9,False
690,4,9,v,rvfbbwzdwcvvqv,4,False
691,6,11,m,mmvmbvmmmsmmlmmm,11,False
692,3,8,p,xpxppsgpbxp,5,True
693,2,6,f,vffbszhvvrdfkxc,3,True
694,8,11,v,lvrrlvvqqvr,4,False
695,5,17,h,hdhhbhhzhhhhhhsbl,11,True
696,8,10,f,fhgffgfrfqtf,6,False
697,9,12,s,ssssfssdpssswf,9,False
698,9,12,m,mmmmmmmmpzgmmm,11,True
699,7,9,l,zlmllvwlllldl,8,True
700,8,11,m,mmdmfmmdxbmxbmm,8,False
701,1,4,m,fklssmffwzgqcvdpm,2,True
702,13,14,c,cczcccccccccccc,14,False
703,5,9,f,frtkfpffsfff,7,True
704,5,8,f,ffffgffr,6,True
705,3,8,m,mmxsmmmb,5,True
706,1,6,m,mdmmmm,5,True
707,1,2,h,hhdtmhwfpt,3,False
708,4,14,d,dmrkdvddmdsdddbsgd,9,True
709,6,7,c,cxccgcccc,7,False
710,6,12,v,xcqvjvvsdvvvpv,7,True
711,11,14,d,gltkjvddwjdkrln,3,False
712,2,13,f,ggffllflfbfffqkfmf,9,True
713,10,13,c,xkvcccccrmccccc,10,False
714,17,19,q,qqsqqqqqqqqqqqqqfqmq,17,False
715,8,10,t,ttttlttwtlt,8,False
716,4,5,f,wffrd,2,False
717,2,16,v,tvhvvqvrvvvvvvqvvf,12,True
718,2,4,c,cccc,4,False
719,3,8,z,zrzzpzlzzhsdxqqfx,6,True
720,6,10,k,kkkkkkkkkk,10,False
721,5,7,r,rvrrvrz,4,False
722,14,15,w,wwwwwwwlwwwwncwvwjk,13,False
723,6,11,q,qfhxqqgqqqsvcpr,6,False
724,4,7,f,kflfffzff,6,True
725,2,14,t,rtttttptlxsttt,9,True
726,11,15,t,ttttttttttftbvqttt,14,True
727,6,10,c,cckwlchltchcczgw,6,False
728,3,8,s,ssssvsqnss,7,True
729,1,8,h,mhhhhrhhh,7,True
730,13,15,b,bbbbbbbbbbbbbbnb,15,False
731,15,17,p,dpppppppppspppcps,13,False
732,5,12,l,xbfjglklphtl,3,False
733,2,4,v,vvvvbvwpvvvrv,9,False
734,3,5,k,plhjkkqkskz,4,True
735,6,12,z,zzzzzczzzzzk,10,True
736,2,3,j,xvjljj,3,False
737,6,7,r,rlrrrrrrzrrzrrr,12,False
738,1,12,t,mqrkgpktbsqxg,1,False
739,10,13,z,pzmzzxpnzxpgzzzhzz,9,False
740,5,13,s,gslsskvgxssssnpj,7,True
741,10,14,m,mmmmmmsmmmmmmk,12,True
742,2,5,b,tnbdsfwdzxrkjdb,2,False
743,2,15,h,hnxhzhmhhhhhwwb,8,True
744,1,4,c,ccccccc,7,False
745,9,10,b,bbbbbbbbbl,9,False
746,4,5,j,jsjjj,4,False
747,3,6,n,xmmnppbn,2,False
748,11,12,m,mmmmmmmmmmmm,12,False
749,2,4,r,jrgrcpvgctrrr,5,False
750,3,4,g,gggr,3,False
751,14,17,n,nhnpnnnnznnnnnnnknnm,15,True
752,4,5,k,krkkf,3,False
753,11,17,h,hhdhhhhhhhhghhkhx,13,True
754,5,19,q,dqbcqqqqsqqzqqqqqqv,13,True
755,5,16,t,ttrkttttstwttttqdt,12,True
756,11,18,h,dhhhhhhhhjhtjhhhhhh,15,True
757,5,8,c,ccccrccfc,7,True
758,1,3,v,nvvnv,3,False
759,7,12,m,prmmzmtmmmssdmmmmt,10,True
760,15,16,r,rrrrrrrrrrrrrqfr,14,False
761,7,19,b,djbbbbqjbdtbslbgbbmb,10,True
762,10,13,w,wwwwwwwwwwwwww,14,False
763,5,15,p,mbpcjqmmhpppkfmrbcww,4,False
764,2,4,n,nxbjknms,2,False
765,5,11,s,hxhcsldmxshdksvsss,6,True
766,12,16,q,qqqqqqqpqcdqqtwkqvq,12,False
767,2,7,j,tjlpcjjjjnj,6,True
768,6,7,s,ssssskm,5,False
769,1,4,t,tttttx,5,False
770,5,10,q,pqmnqrlqchbjzqqvq,6,True
771,11,15,q,qqqqqqqqqqhqrqqrqq,15,False
772,3,5,k,jhkgkxkqfskg,4,True
773,14,15,f,ffvffmfffffffsffqm,13,False
774,4,5,x,xxfxhfxx,5,False
775,2,4,b,ktbv,1,False
776,3,4,t,wjtwxvxctrcttb,4,False
777,1,3,s,shssg,3,False
778,8,12,z,skkzbdpzdkzzz,5,False
779,1,3,f,rlfffqft,4,False
780,5,8,s,fsrcnjsgsmgs,4,False
781,7,17,v,vvvvvvvvvvvvvvvvvvv,19,False
782,4,5,k,kklmq,2,False
783,8,17,h,hhhhhlvghwkhrfzhxh,9,True
784,17,18,n,nnnnnnnnnnnnnnnnnn,18,False
785,3,10,h,mhhhhrhznwvhh,7,True
786,8,9,x,xmxxxxxxx,8,False
787,4,5,p,ppppk,4,False
788,11,13,t,tttttttttttjtcn,12,True
789,3,4,q,qqvhz,2,False
790,3,8,l,gbpqclnkwlhdlml,4,True
791,12,13,f,fffffffffffrf,12,False
792,3,11,s,ssjssssssslssss,13,False
793,6,7,b,bbbbbwbb,7,False
794,7,9,r,krrrrrfrj,6,False
795,13,14,b,bbbbbbbbbvbbbp,12,False
796,2,4,x,ltgbx,1,False
797,7,10,r,smrrrrkjrrr,7,False
798,3,7,n,vnqpngjdgrw,2,False
799,7,18,t,ttltqtsktrjgxtqhtt,8,True
800,2,5,v,dvvxbvvvnk,5,False
801,2,5,n,nnnnnpn,6,False
802,1,3,t,nttmtx,3,False
803,3,4,z,zpszz,3,False
804,1,12,p,pmpxphlpppppppqppp,13,False
805,3,4,v,qvvvvvv,6,False
806,9,12,g,gwgggggggtgqgg,11,True
807,2,4,n,knpn,2,False
808,3,13,d,hncbdrvpddddcfddd,8,True
809,5,9,s,ssnspslslsfkpskss,9,False
810,1,2,s,ssczgkvtlp,2,False
811,5,6,p,pmvpzpppkm,5,False
812,1,4,j,jjhr,2,True
813,5,6,s,ssssxl,4,False
814,1,3,t,ttrt,3,False
815,16,18,n,nnpnnnnnnnnnnnnnnnn,18,False
816,4,5,n,nnfnl,3,False
817,1,4,b,bbbb,4,False
818,7,8,l,nljlllkhl,5,False
819,11,12,n,nnnnnsnnnnnnnpn,13,False
820,5,10,k,kkkkckkkkhkkkkk,13,False
821,7,10,s,zfsssfldxsvqsxdsqs,7,False
822,5,6,q,qqqqqp,5,False
823,6,7,q,qqqqqqq,7,False
824,14,16,w,wwdhmwwjwwwwnwwlwwwv,13,False
825,8,9,l,llllllldll,9,False
826,12,14,c,ccrccccccccrcccccccc,18,False
827,1,3,n,qnwnh,2,True
828,1,4,l,mlll,3,True
829,1,3,s,sssssss,7,False
830,4,15,h,mhclhhhjllhhhgh,8,True
831,15,16,x,xxxxxxtxxxxxtxttxx,14,False
832,2,4,r,rmjh,1,False
833,6,9,z,zzzzzpszt,6,False
834,17,18,n,nnwnnnnnnnnnnnnnppnn,17,False
835,8,11,v,vmvmvlvbvvvvv,9,True
836,7,8,b,bbbbbbdf,6,False
837,2,5,k,kkdkk,4,True
838,8,9,d,dddsldddvxlhd,7,False
839,7,8,h,hhhhkhxshxhn,7,False
840,12,14,c,vcchpxcnmgkctpqcc,6,False
841,1,5,w,wwwwww,6,False
842,1,2,x,xdmk,1,False
843,1,9,p,pbfvrdpqqn,2,True
844,2,4,s,mtnvzhnzs,1,False
845,4,6,t,cttxvtttx,5,True
846,4,8,t,qttmtzttkwftrjk,6,True
847,7,9,c,cccccccccc,10,False
848,2,18,j,zjjqxjfqqlmjrjhjqx,6,True
849,2,5,q,qmkqgq,3,True
850,5,11,k,kkkkkkslzkkkkkrx,11,False
851,16,18,h,hhhhhhhhhqhthhhvhh,15,False
852,5,13,h,hhfhhhhhmhhshhhhhhh,16,False
853,10,12,r,rkrrrrrmrrrrrr,12,False
854,8,10,n,rnnckhmjnxmfggsgtnnn,6,False
855,19,20,c,qsccznccccccnccccccq,14,False
856,1,4,k,wtkck,2,True
857,7,8,s,sssmssjssss,9,False
858,3,5,l,llslv,3,False
859,3,7,t,tvgjqgjbvtgpkt,3,False
860,13,15,b,bbbbbbbbqbblrbbb,13,False
861,9,10,z,zzzzzznzzb,8,False
862,6,16,c,kpcnsccgccxfwccl,7,True
863,2,3,d,ddbd,3,False
864,10,16,v,vvvvqrvvsvvvvvvl,12,True
865,3,12,d,dzdxxhddnlkddddk,8,True
866,8,9,b,khbbbfbbbbb,8,False
867,11,12,z,zzzzzzzzzzzz,12,False
868,5,15,n,bnlvnnrjbnqlnnn,7,True
869,1,2,q,mqqpzjc,2,False
870,11,13,h,hhhhhhchhhhjhh,12,True
871,8,11,x,nxfcxbjqxdlcxxxkxxx,9,True
872,14,18,v,vvbqvvvvvvvvvvvvvvvv,18,False
873,7,8,f,pgtlfffmjffnt,5,False
874,10,18,m,mnkrmmmmmqmmmmmmmjm,14,True
875,1,4,l,lghlhcnwprlgvw,3,True
876,3,4,p,npxplpwl,3,False
877,12,15,s,sfkwnvsssvssssfsssrp,11,False
878,3,7,z,ztqnzlxjmzzbjfnxcw,4,True
879,17,18,q,qqqqqqqqqqqqqqqqqq,18,False
880,3,6,z,jczztzzbhmzzw,6,False
881,3,7,f,skffttjffqfnchfrf,7,False
882,4,6,m,hmqmcrmw,3,False
883,10,11,t,dftttqttttttl,9,False
884,7,13,p,spxnpgtzpppjpwppptp,10,True
885,8,9,q,jqxqqqqxqq,7,False
886,3,4,h,hhhh,4,False
887,10,13,z,pgzxhxxpzzssj,3,False
888,5,9,x,xfrdmjxmrxrqjpxbfxxx,7,True
889,8,17,d,ddpddddddddsgddzddn,14,True
890,1,4,g,vggdggggggggggggggg,17,False
891,10,12,m,mmdqsmwvjjmv,4,False
892,2,7,s,ssqsssk,5,True
893,13,14,n,nnvnnnnnnnnnsgnn,13,False
894,2,16,k,kkkkkkkkkkknkkkk,15,True
895,3,6,p,dprphc,2,False
896,2,10,k,mpkstkxkdb,3,True
897,2,3,s,ssxs,3,False
898,9,19,t,ttjttjttrtsqtmttttt,13,True
899,4,5,j,jrjjtsjjd,5,False
900,6,7,x,xxxpxjx,5,False
901,13,15,q,fqfqqqqhqcqfqqbqqq,12,False
902,1,3,z,zfgrzl,2,True
903,6,8,n,nnnnnphm,5,False
904,1,8,b,bbbbbbbbb,9,False
905,4,5,h,thhgj,2,False
906,4,8,v,vvvcvvvp,6,True
907,8,9,t,ktttttttt,8,False
908,3,4,f,wftbcfnmhkfdpjbns,3,False
909,6,7,v,vvvvvlv,6,False
910,16,17,z,zzzzhfzzzzzzkzzzwzzz,16,False
911,1,2,q,qqqfq,4,False
912,10,11,p,zpjzcppvcppppppppj,11,False
913,10,15,c,vlccbcgcclcczfcfcc,10,False
914,11,17,t,tsntktwzhsfttfwtx,6,False
915,1,7,h,nhhhhhb,5,True
916,6,13,b,bbbphnbbwbbbb,9,True
917,8,9,x,xgxxxlxfxx,7,False
918,14,16,m,mmmmmmmmmmmmmmmm,16,False
919,3,4,x,xxbxx,4,False
920,6,9,c,xkccsfccrccv,6,False
921,10,18,h,jphhbshwghrxpnhnlhxh,7,False
922,6,10,f,nlxbgvftfh,2,False
923,3,4,p,ppwf,2,False
924,1,6,s,kjwjwshcnqwxgwslvl,2,True
925,2,3,m,mmlk,2,False
926,2,3,g,gmgg,3,False
927,3,6,r,rrrvrmr,5,True
928,1,6,s,szgpksczqd,2,True
929,12,14,t,ttttttpjvtqwtltt,10,False
930,1,2,r,hrrrrvrrzj,6,False
931,1,13,m,xmmmmmsmmmcsnmmmmfmm,14,False
932,10,11,f,fffffffffsf,10,False
933,13,15,d,ddddddddddddhdq,13,False
934,7,14,k,jkkkkkkkrkmkkkk,12,True
935,6,9,g,ggggggggg,9,False
936,14,16,l,lllllllvlllllwtx,12,False
937,1,3,g,ggggt,4,False
938,3,4,m,mmkd,2,False
939,5,10,g,jgsgvggwggj,6,True
940,17,18,p,ppppppppppppppphpp,17,False
941,1,2,q,qqjwhq,3,False
942,2,6,q,qqgqqzk,4,True
943,11,16,t,ttwttttttctttthgt,13,True
944,1,5,m,zmmmsm,4,True
945,12,16,r,rrrrrrrrrqrgrrrj,13,True
946,4,5,v,xcvvghvrczpcgn,3,False
947,1,3,x,xbfmxxfxxf,5,False
948,3,5,j,hjbjm,2,False
949,5,14,l,lllltlllllqllll,13,True
950,3,4,x,xsxnxgtx,4,False
951,6,18,g,gggggggggggggggggd,17,True
952,8,12,t,tgttttqtcttttt,11,True
953,4,6,p,pppppd,5,True
954,6,7,x,xxxxxxx,7,False
955,3,4,c,fdcclrccccvg,6,False
956,11,12,v,vnvvvvzdvcrk,6,False
957,1,9,z,zztzqzzzzcz,8,True
958,1,12,v,vmvvvvvvvvvmvvvv,14,False
959,9,16,v,vvvvvvvvvvvvvvvf,15,True
960,2,7,h,xhtsfmvthhhrhdhhbbc,7,False
961,5,6,c,qkccccd,4,False
962,8,12,z,zzzzzzzjzzhbzz,11,True
963,2,4,n,shlnnkxn,3,True
964,19,20,v,vvvvvvvvvvvvvvvvvvcv,19,False
965,7,8,h,hhkhhhkhh,7,False
966,5,19,p,sxslgwvkszswqxtqpvf,1,False
967,5,8,m,mmmmmrmbm,7,True
968,2,5,j,jrnjjzjfhjdkjqjtkwk,7,False
969,7,13,f,ffffffsfffffwfff,14,False
970,6,9,w,wmwwdwwwsz,6,False
971,12,15,f,nsffpfsdsjsfsffk,6,False
972,13,16,k,kkkkkkkkkkkkkkhw,14,True
973,6,17,s,ssssslssssssssssss,17,False
974,3,5,c,srdscnncclqqcncsw,5,False
975,9,11,p,pkppppppppp,10,True
976,5,10,q,qqqqqqqqqpqq,11,False
977,12,14,n,nnnnnnnnnnnnnn,14,False
978,6,11,h,hhhhhqhhhhhvhhhh,14,False
979,2,12,f,fgfrpzcstfffffxff,9,True
980,2,12,n,nnxmnmnnnnknrpmnv,9,True
981,6,7,m,jmmmmcnpkm,5,False
982,4,6,v,mvkcwvmvvjvrvlv,7,False
983,18,20,h,hhrmbrhhhhlhhvhmhhhb,12,False
984,9,13,g,ggggggzgggsgfgxg,12,True
985,9,15,m,pmmxmmmmmmmmmmm,13,True
986,1,7,l,zlmsmlxpvvlzv,3,True
987,2,15,g,sslggkdglqgxpgkx,5,True
988,17,18,c,ccccccccccccccccmc,17,False
989,10,11,w,wwwwwpcwwwpwwd,10,False
990,3,5,w,wwwwk,4,True
991,8,9,f,vfbvffsfcf,5,False
992,4,6,r,rrrrrr,6,False
993,2,4,n,nrnknn,4,False
994,1,4,l,lxllllll,7,False
995,10,11,f,qdfwvfffdfvwffgfkfgf,10,False
996,3,4,b,xgxbdqxbfvzrl,2,False
997,2,8,b,pbbkbbgbxr,5,True
998,1,2,d,ddxdnv,3,False
999,4,8,d,dndfcnhd,3,False
